"id","region","country_code","country","city","latitude","longitude","long_name","short_name","prefixes","status","established","url"
2,"South America","ARG","Argentina","Buenos Aires",-34.57000,-58.42000,"NAP CABASE Buenos Aires","NAP CABASE Buenos Aires",8576,"Active",19980401,"http://www.cabase.org.ar"
6,"Oceania","AUS","Australia","Melbourne",-37.82000,144.97000,"AUSIX","AUSIX",0,"Active",20010700,"http://www.ausix.net/"
8,"Oceania","AUS","Australia","Melbourne",-37.82000,144.97000,"Victoria Internet Exchange","VIC-IX",0,"Active",20110000,"http://www.ix.asn.au/peering.html"
9,"Oceania","AUS","Australia","Perth",-31.93000,115.95000,"Western Australian Internet Association (Inc.)","WAIX",22197,"Active",19970000,"http://www.ix.asn.au/peering.html"
12,"Oceania","AUS","Australia","Sydney",-33.95000,151.17999,"Equinix Sydney","Equinix Sydney",32042,"Active",20030000,"http://www.equinix.com"
13,"Oceania","AUS","Australia","Brisbane",-27.38000,153.10001,"PIPE Networks Brisbane","PIPE Brisbane",0,"Active",20020500,"http://www.pipenetworks.com"
14,"Europe","AUT","Austria","Graz",47.07030,15.43890,"Grazer Internet Exchange","GraX",0,"Active",20100304,"http://www.grax.at/"
15,"Europe","AUT","Austria","Vienna",48.20000,16.37000,"Vienna Internet Exchange","VIX",132695,"Active",19960400,"http://www.VIX.at/"
16,"Asia","BGD","Bangladesh","Dhaka",23.77000,90.38000,"Bangladesh Internet Exchange","BDIX",2006,"Active",20040826,"http://www.bdix.net/"
17,"Europe","BEL","Belgium","Brussels",50.90000,4.53000,"Belgian National Internet Exchange","BNIX",0,"Active",19950000,"http://www.bnix.net/"
19,"South America","BRA","Brazil","Belo Horizonte",-19.63000,-43.97000,"Ponto de Troca de Tráfego do Belo Horizonte","PTT Belo Horizonte",0,"Active",20100100,"http://ptt.br/adesao/mg/"
20,"South America","BRA","Brazil","Brasília",-15.78000,-47.93000,"Ponto de Troca de Tráfego do Brasília","PTT Brasília",0,"Active",20090000,"http://ptt.br/adesao/df"
22,"South America","BRA","Brazil","Florianópolis",-27.58000,-48.57000,"Ponto de Troca de Tráfego do Florianópolis","PTT Florianópolis",0,"Active",20080000,"http://ptt.br/adesao/ce"
29,"South America","BRA","Brazil","São Paulo",-23.62000,-46.65000,"NAP do Brasil","NAP do Brasil",0,"Active",19980000,"http://www.terremark.com/data-centers/americas/nap-brazil.aspx"
30,"South America","BRA","Brazil","São Paulo",-23.62000,-46.65000,"Ponto de Troca de Tráfego Metro São Paulo","PTTMetro São Paulo",0,"Active",20041004,"http://ptt.br/adesao/sp"
37,"North America","CAN","Canada","Ottawa",45.40000,-75.72000,"Ottawa Internet Exchange","OttIX",1041,"Active",20010410,"http://www.ottix.net/"
39,"North America","CAN","Canada","Toronto",43.67000,-79.40000,"Toronto Internet Exchange","TORIX",79217,"Active",19980000,"http://www.torix.net/"
41,"South America","CHL","Chile","Santiago",-33.38000,-70.78000,"NAP Chile","NAP Chile",0,"Active",19970900,"http://www.nap.cl/"
43,"Asia","CHN","China","Beijing",39.93000,116.28000,"Beijing National Internet Exchange Center","BIX",0,"Active",20000400,""
49,"South America","COL","Colombia","Bogotá",4.70000,-74.13000,"NAP-Colombia","NAP-Colombia",0,"Active",20000629,"http://www.nap.com.co/"
51,"Europe","HRV","Croatia","Zagreb",45.82000,16.03000,"Croatian Internet Exchange","CIX",0,"Active",20050000,"http://www.cix.hr/"
52,"North America","CUB","Cuba","Habana",22.98000,-82.40000,"NAP de Cuba","NAP de Cuba",0,"Active",20010600,"http://www.etecsa.cu/?page=internet_conectividad&sub=transmision_datos"
53,"Asia","CYP","Cyprus","Lefkosia",35.17000,33.37000,"Cyprus Internet Exchange","CyIX",0,"Active",19990000,"http://www.cytanet.com.cy/network/cyix/"
55,"Europe","CZE","Czech Republic","Prague",50.08000,14.43000,"Neutral Internet Exchange","NIX",0,"Active",19960800,"http://www.nix.cz"
56,"Europe","DNK","Denmark","Copenhagen",55.67000,12.57000,"Danish Internet Exchange","DIX",0,"Active",19940500,"http://www.dix.dk/"
57,"South America","ECU","Ecuador","Guayaquil",-2.15000,-79.88000,"NAP AEPROVI Guayaquil","NAP AEPROVI Guayaquil",0,"Active",20030000,"http://www.aeprovi.org.ec/index.php?option=com_content&task=blogcategory&id=5&Itemid=85"
58,"South America","ECU","Ecuador","Quito",-0.15000,-78.48000,"NAP AEPROVI Quito","NAP AEPROVI Quito",0,"Active",20030000,"http://www.aeprovi.org.ec/index.php?option=com_content&task=blogcategory&id=5&Itemid=85"
59,"Africa","EGY","Egypt","Cairo",30.13000,31.40000,"Cairo Internet Exchange","CAIX",3587,"Active",20020500,"http://www.caix.net.eg/"
62,"Europe","GBR","United Kingdom of Great Britain & Northern Ireland","London",51.48000,-0.45000,"London Internet Exchange","LINX",679856,"Active",19941108,"http://www.linx.net"
64,"Europe","GBR","United Kingdom of Great Britain & Northern Ireland","London",51.48000,-0.45000,"London Network Access Point","LoNAP",78607,"Active",19980000,"http://www.lonap.net"
66,"Europe","GBR","United Kingdom of Great Britain & Northern Ireland","London",51.48000,-0.45000,"XchangePoint London IPP","XP-London IXP",0,"Active",20010000,"http://www.xchangepoint.net"
68,"Europe","EST","Estonia","Tallinn",59.35000,24.80000,"Tallinn Internet Exchange (TIX)","TIX",0,"Active",20020000,"http://tix.estpak.ee"
69,"Europe","FIN","Finland","Helsinki",60.17000,25.00000,"Finnish Communication and Internet Exchange Helsinki","FICIX2",0,"Active",19930000,"http://www.ficix.fi/english/main.php"
70,"Europe","FIN","Finland","Tampere",61.42000,23.58000,"Tampere Region Exchange","TREX",929,"Active",20030803,"http://www.trex.fi/"
71,"Europe","FRA","France","Lyon",45.72000,4.95000,"Lyon Internet Exchange","LyonIX",36637,"Active",20100601,"http://www.lyonix.net/"
74,"Europe","FRA","France","Paris",48.80000,2.33000,"Mix Internet Exchange and Transit","MIXT",0,"Active",19990000,"http://www.mixt.net/"
78,"Europe","FRA","France","Paris",48.80000,2.33000,"Service for French Internet Exchange","SFINX",14672,"Active",19950000,"http://www.renater.fr/spip.php?rubrique270"
80,"Europe","DEU","Germany","Berlin",52.38000,13.52000,"Berlin Commercial Internet Exchange","BCIX",127267,"Active",20020906,"http://www.bcix.de/"
81,"Europe","DEU","Germany","Berlin",52.38000,13.52000,"European Commercial Internet Exchange Berlin","BLNX/ECIX BER",63689,"Active",20030000,"http://www.ecix.net/"
82,"Europe","DEU","Germany","Düsseldorf",51.28000,6.76000,"European Commercial Internet Exchange Düsseldorf","ECIX DUS",71515,"Active",20030000,"http://www.ecix.net/"
83,"Europe","DEU","Germany","Frankfurt",50.12000,8.68000,"Deutscher Commercial Internet Exchange","DE-CIX",784573,"Active",19950500,"https://www.de-cix.net/"
86,"Europe","DEU","Germany","Hamburg",53.55000,10.03000,"Internet Exchange Hamburg","INXS-HH",0,"Active",20001000,"http://www.inxs.de"
87,"Europe","DEU","Germany","Hamburg",53.55000,10.03000,"XchangePoint Hamburg IPP","XP-Hamburg IXP",0,"Active",20030400,"http://www.xchangepoint.net"
88,"Europe","DEU","Germany","Hamburg",53.55000,10.03000,"DE-CIX Hamburg","DE-CIX Hamburg",0,"Active",20080000,"http://www.de-cix.net/products-services/de-cix-hamburg/"
89,"Europe","DEU","Germany","Munich",48.13000,11.70000,"Internet Exchange Service","INXS",44159,"Active",19940600,"http://www.inxs.de"
92,"Europe","DEU","Germany","Nuremberg",49.50000,11.08000,"Nürnberger Internet Exchange","N-IX",0,"Active",20030000,"http://www.n-ix.de"
93,"Africa","GHA","Ghana","Accra",5.60000,-0.17000,"Ghana Internet Exchange","GIX",0,"Active",20051018,"http://www.gixa.org.gh"
94,"Europe","GRC","Greece","Athens",37.90000,23.70000,"Greek Internet Exchange","GR-IX",0,"Active",20000000,"http://www.gr-ix.gr/"
96,"Asia","CHN","China","Hong Kong",22.33000,114.18000,"Hong Kong Internet Exchange","HKIX",882404,"Active",19950400,"http://www.hkix.net"
99,"Europe","HUN","Hungary","Budapest",47.43000,19.18000,"Budapest Internet Exchange","BIX",0,"Active",19960000,"http://www.bix.hu/"
100,"Europe","ISL","Iceland","Reykjavik",64.12000,-21.90000,"Reykjavik Internet Exchange","RIX",0,"Active",19990000,"http://www.rix.is"
103,"Asia","IND","India","Mumbai",19.00000,72.80000,"National Internet Exchange of India","NIXI Mumbai",0,"Active",20030719,"http://nixi.in/en/"
104,"Asia","IND","India","New Delhi",28.58000,77.20000,"National Internet Exchange of India","NIXI Delhi",0,"Active",20030719,"http://nixi.in/index.php?option=com_noclocation&task=click&id=52&Itemid=28"
105,"Asia","IND","India","Chennai",13.07000,80.20000,"National Internet Exchange of India","NIXI Chennai",0,"Active",20030719,"http://nixi.in/en/noc-locations/55?view=noclocation"
106,"Asia","IND","India","Kolkata",22.57000,88.40000,"National Internet Exchange of India","NIXI Kolkotta",0,"Active",20030719,"http://nixi.in/index.php?option=com_noclocation&task=click&id=53&Itemid=28"
110,"Asia","IDN","Indonesia","Jakarta",-6.17444,106.82944,"Indonesian Internet Exchange","IIX",9010,"Active",19970800,"http://www.iix.net.id"
114,"Asia","IDN","Indonesia","Surabaya",-7.24917,112.75083,"Indonesian Internet Exchange","IIX",0,"Active",20031000,"http://www.iix.net.id"
116,"Europe","IRL","Ireland","Dublin",53.33000,-6.25000,"Internet Neutral Exchange Association Limited","INEX",75091,"Active",19960000,"http://www.inex.ie"
117,"Asia","ISR","Israel","Tel Aviv",32.00000,34.90000,"Israeli Internet Exchange","IIX",0,"Active",19960000,"http://www.isoc.org.il/iix/index.html"
118,"Europe","ITA","Italy","Milan",45.45000,9.17000,"Milan Internet Exchange","MIX",0,"Active",20001100,"http://www.mix-it.net/"
120,"Europe","ITA","Italy","Rome",41.90000,12.45000,"NaMeX - Nautilus Mediterranean Exchange Point","NaMeX",0,"Active",19960000,"http://www.namex.it"
121,"Europe","ITA","Italy","Torino",45.22000,7.65000,"Torino Piemonte Exchange Point","TOP-ix",6587,"Active",20020000,"http://www.top-ix.org"
123,"Asia","JPN","Japan","Nagoya",35.12000,136.93000,"JPIX Nagoya","JPIX Nagoya",0,"Active",20010400,"http://www.jpix.ad.jp/en/"
124,"Asia","JPN","Japan","Tokyo",35.55000,139.78000,"JPIX Nihonbashi","JPIX Nihonbashi",0,"Active",20040400,"http://www.jpix.ad.jp/en/"
125,"Asia","JPN","Japan","Osaka",34.53000,135.50000,"JPIX Osaka","JPIX OSAKA",0,"Active",20020400,"http://www.jpix.ad.jp/en/"
126,"Asia","JPN","Japan","Osaka",34.53000,135.50000,"JPNAP Osaka","JPNAP Osaka",0,"Active",20020002,"http://www.mfeed.co.jp/english/jpnap-osaka/index.html"
128,"Asia","JPN","Japan","Osaka",34.53000,135.50000,"NSPIXP-3","NSPIXP-3",0,"Active",19970300,"http://nspixp.wide.ad.jp/3/"
129,"Asia","JPN","Japan","Tokyo",35.55000,139.78000,"Japan Internet Exchange","JPIX",35886,"Active",19970700,"http://www.jpix.ad.jp"
130,"Asia","JPN","Japan","Tokyo",35.55000,139.78000,"JPNAP Tokyo I - Otemachi","JPNAP",0,"Active",20010000,"http://www.jpnap.net/english/jpnap-tokyo-i/index.html"
134,"Asia","JPN","Japan","Tokyo",35.55000,139.78000,"Network Service Provider IXP (Distributed IX in Edo)","DIX-IE",4361,"Active",19961000,"http://nspixp.wide.ad.jp/2/"
135,"Asia","JPN","Japan","Tokyo",35.55000,139.78000,"Network Service Provider IXP-6","NSPIXP-6",0,"Active",19990800,"http://www.wide.ad.jp/nspixp6/"
137,"Asia","JPN","Japan","Tokyo",35.55000,139.78000,"BBIX Tokyo","BBIX",0,"Active",20030700,"http://www.bbix.net/en/service/ix/"
138,"Asia","JPN","Japan","Osaka",34.53000,135.50000,"BBIX Osaka","BBIX",0,"Active",20030900,"http://www.bbix.net/en/service/ix/"
139,"Asia","JPN","Japan","Nagoya",35.12000,136.93000,"BBIX Nagoya","BBIX",0,"Active",20050500,"http://www.bbix.net/en/service/ix/"
141,"Asia","JPN","Japan","Fukuoka",33.58000,130.38000,"BBIX Fukuoka","BBIX Fukuoka",0,"Active",20041000,"http://www.bbix.net/en/service/ix/"
142,"Asia","JPN","Japan","Tokyo",35.55000,139.78000,"Equinix IBX Tokyo","Equinix Tokyo",0,"Active",20010529,"http://www.equinix.nl/insight-center/videos/tour-ibx-by-market/tokyo-ibx/"
143,"Africa","KEN","Kenya","Nairobi",-1.32000,36.82000,"Kenya Internet Exchange Point","KIXP",0,"Active",20010200,"http://www.kixp.or.ke"
144,"Asia","KOR","Korea","Seoul",37.50000,126.93000,"6NGIX","6NGIX",0,"Active",20010800,"http://vsix.net/eng/"
145,"Asia","KOR","Korea","Seoul",37.50000,126.93000,"LGDACOM Internet Exchange","LGDACOM IX",0,"Active",19961000,""
147,"Asia","KOR","Korea","Seoul",37.50000,126.93000,"Korea Internet Neutral Exchange KINX","KINX",27835,"Active",19990600,"https://global.kinx.net/"
155,"Europe","MLT","Malta","Msida",35.89000,14.48000,"Malta Internet Exchange","MIX",0,"Active",19990907,"http://www.mix.net.mt"
156,"Africa","MUS","Mauritius","Port Louis",-20.16195,57.49889,"Mauritius Internet Exchange","MIX",0,"Active",20051200,"http://www.gov.mu/portal/sites/mixp/index.htm"
157,"Asia","MNG","Mongolia","Ulan Bator",47.93000,106.98000,"Mongolia Internet Exchange","MIX",0,"Active",20010500,"http://www.infocon.mn/info/node/95"
158,"Africa","MOZ","Mozambique","Maputo",-25.92000,32.57000,"Mozambique Internet Exchange","MIX",0,"Active",20020700,"http://www.mozix.org.mz"
159,"Asia","NPL","Nepal","Kathmandu",27.70000,85.37000,"Nepal Internet Exchange","NPIX",312,"Active",20020800,"http://www.npix.net.np/"
160,"Europe","NLD","Netherlands","Amsterdam",52.30000,4.77000,"Amsterdam Internet Exchange","AMS-IX",775719,"Active",19971229,"http://www.ams-ix.net"
162,"Europe","NLD","Netherlands","Enschede",52.22000,6.90000,"Nederlands-Duitse Internet Exchange","NDIX",0,"Active",20010400,"http://www.ndix.net"
163,"Europe","NLD","Netherlands","Groningen",53.13000,6.58000,"Groningen-IX","GN-IX",0,"Active",20010000,"http://www.gn-ix.net/"
164,"Oceania","NZL","New Zealand","Auckland",-37.02000,174.80000,"Auckland Peering Exchange","APE",19502,"Active",19990810,"http://ape.nzix.net/"
165,"Oceania","NZL","New Zealand","Christchurch",-43.48000,172.55000,"Christchurch Internet Exchange","CHIX",0,"Active",20070000,"http://chix.nzix.net/"
168,"Oceania","NZL","New Zealand","Palmerston North",-40.32000,175.60001,"Palmerston North Internet Exchange","PNIX",0,"Active",20041130,"http://pnix.nzix.net/"
171,"Oceania","NZL","New Zealand","Wellington",-41.33000,174.80000,"Wellington Internet Exchange","WIX",6325,"Active",19961200,"http://wix.nzix.net/"
172,"North America","NIC","Nicaragua","Managua",12.15000,-86.17000,"Nicaraguan Internet Exchange","NicIX",0,"Active",20040400,"http://www.ain.org.ni/index.php/nicix"
174,"Europe","NOR","Norway","Oslo",59.95000,10.70000,"Norwegian Internet Exchange Oslo 1","NIX1",0,"Active",19930300,"http://www.nix.no/"
176,"North America","PAN","Panama","Panama City",8.97000,-79.53000,"Intered Panamá","Intered Panamá",0,"Active",19960000,""
179,"South America","PRY","Paraguay","Asuncion",-25.24000,-57.52000,"CAPADI NAP-PY","NAP-PY",0,"Active",20000920,"http://www.capadi.org.py"
181,"South America","PER","Peru","Lima",-12.00000,-77.12000,"NAP Perú","NAP Perú",0,"Active",20010514,"http://www.nap.pe"
182,"Asia","PHL","Philippines","Manila",14.58000,120.95000,"Common Routing Exchange","CORE",0,"Active",19930000,"http://www.ph.net/CORE/"
185,"Europe","POL","Poland","Warsaw",52.23000,21.00000,"Warsaw Internet Exchange","WIX",0,"Active",19960000,"http://www.wix.aster.pl/vxb/w/"
186,"Europe","PRT","Portugal","Lisbon",38.73000,-9.15000,"Gigabit Portugese Internet Exchange","GIGA-PIX",0,"Active",19950000,"http://www.fccn.pt/pt/servicos/conectividade-e-infraestrutura/gigapix/"
189,"Europe","ROU","Romania","Bucharest",44.50000,26.13000,"Romanian National Internet Exchange","RoNIX",0,"Active",20010907,"http://www.ronix.ro/"
190,"Europe","RUS","Russian Federation","Ekaterinburg",56.80000,60.63000,"Ekaterinburg Internet Exchange","EKT-IX",0,"Active",20120901,"http://www.ix.ru/eng/ekt/"
191,"Europe","RUS","Russian Federation","Moscow",55.75000,37.60000,"Moscow Internet Exchange","M9-IX/MSK-IX",0,"Active",19950000,"http://www.msk-ix.ru/eng/about/"
192,"Europe","RUS","Russian Federation","Novosibirsk",55.03000,82.90000,"Novosibirsk Internet Exchange","NSK-IX",0,"Active",20100000,"http://www.ix.ru/eng/nsk/"
193,"Europe","RUS","Russian Federation","Samara",53.25000,50.45000,"Samara Internet Exchange","Samara-IX",0,"Active",20090000,"http://www.ix.ru/eng/smr/"
195,"Europe","RUS","Russian Federation","St. Petersburg",59.93000,30.30000,"St. Petersburg Internet Exchange","SPB-IX",0,"Active",20090000,"http://www.ix.ru/eng/spb/"
202,"Asia","SGP","Singapore","Singapore",1.37000,103.98000,"Singapore Open Exchange","SOX",9607,"Active",20010800,"http://www.sox.net.sg"
204,"Europe","SVK","Slovakia (Slovak Republic)","Bratislava",48.20000,17.20000,"Slovak Internet Exchange","SIX",0,"Active",19961000,"http://www.six.sk/index_en.shtml"
205,"Europe","SVN","Slovenia","Ljubljana",46.22000,14.48000,"Slovenian Internet Exchange","SIX",0,"Active",19940200,"http://www.arnes.si/en/infrastructure/six-internet-exchange.html"
206,"Africa","ZAF","South Africa","Cape Town",-33.98000,18.60000,"Cape Town Internet Exchange","CINX",3879,"Active",20090700,"http://ispa.org.za/inx/cinx-information/"
209,"Africa","ZAF","South Africa","Johannesburg",-26.13000,28.23000,"Johannesburg Internet Exchange","JINX",4854,"Active",19960600,"http://www.ispa.org.za/inx/jinx-information"
211,"Europe","ESP","Spain","Barcelona",41.28000,2.07000,"Catalunya Neutral Internet Exchange Point","CATNIX",0,"Active",19990407,"http://www.catnix.net"
212,"Europe","ESP","Spain","Bilbao",43.30000,-2.93000,"Punto Neutro Vasco de Internet","EuskoNIX",0,"Active",20020117,"http://www.euskonix.net/"
213,"Europe","ESP","Spain","Madrid",40.43000,-3.70000,"Punto Neutro Español de Internet","ESPANIX",0,"Active",19970000,"http://www.espanix.net"
215,"Europe","ESP","Spain","Madrid",40.43000,-3.70000,"Terremark NAP de las Americas - Madrid","Terremark NAP Madrid",0,"Active",20041000,"http://www.terremark.es/data-centers/europe-middle-east-africa/nap-of-madrid/"
219,"Asia","LKA","Sri Lanka","Colombo",6.90000,79.87000,"Sri Lanka Internet Exchange","SLIX",0,"Active",20010701,"http://www.lankacom.net/our-solutions/web-hosting"
222,"Europe","SWE","Sweden","Gothenburg",57.67000,12.30000,"Netnod Gothenburg","Netnod Gothenburg",0,"Active",19980000,"http://www.netnod.se"
225,"Europe","SWE","Sweden","Luleå",65.58000,22.15000,"Netnod Luleå","Netnod Luleå",0,"Active",20040900,"http://www.netnod.se"
227,"Europe","SWE","Sweden","Stockholm",59.33000,18.05000,"Netnod Stockholm","Netnod",0,"Active",19970000,"http://www.netnod.se"
228,"Europe","SWE","Sweden","Stockholm",59.33000,18.05000,"SOLIX","SOLIX",0,"Active",20011200,"http://www.solix.se/"
229,"Europe","SWE","Sweden","Sundsvall",62.38000,17.30000,"Netnod Sundsvall","Netnod Sundsvall",0,"Active",20000000,"http://www.netnod.se"
230,"Europe","SWE","Sweden","Umeå",63.80000,20.28000,"NorrNod","NorrNod",0,"Active",19960000,"http://www.norrnod.se"
231,"Europe","CHE","Switzerland","Geneva",46.25000,6.13000,"CERN Internet Exchange Point","CIXP",0,"Active",19950000,"http://www.cixp.ch"
234,"Europe","CHE","Switzerland","Zurich",47.48000,8.53000,"SwissIX","SwissIX",84277,"Active",20010309,"http://www.swissix.ch/"
236,"Europe","CHE","Switzerland","Zurich",47.48000,8.53000,"Equinix Zurich","Equinix Zurich",0,"Active",19990000,"http://www.equinix.ch/"
237,"Asia","TWN","Taiwan","Taipei",25.03000,121.52000,"Taipei Internet Exchange","TPIX",0,"Active",20020702,"http://www.tpix.com.tw"
238,"Asia","TWN","Taiwan","Taipei",25.03000,121.52000,"Taiwan Internet Exchange","TWIX",0,"Active",19971200,"http://www.twix.net.tw"
239,"Asia","TWN","Taiwan","Taipei",25.03000,121.52000,"Taiwan Network Access Point","TWNAP",0,"Active",20010000,"http://www.nap.net.tw"
242,"Africa","TZA","Tanzania","Dar es Salaam",-6.87000,39.20000,"Tanzania Internet Exchange","TIX",0,"Active",20030700,"http://www.tix.or.tz/"
244,"Asia","THA","Thailand","Bangkok",13.92000,100.60000,"CAT National Internet Exchange","CAT-THIX",0,"Active",19970900,"http://www.cat.net.th/thix-nix/index_eng.html"
248,"Africa","UGA","Uganda","Kampala",0.32000,32.62000,"Uganda Internet Exchange","UIXP",0,"Active",20030700,"http://www.uixp.co.ug"
249,"Europe","UKR","Ukraine","Kiev",50.40000,30.45000,"Ukrainian Internet Exchange","UA-IX",0,"Active",20000700,"http://www.ua-ix.net.ua/eng.phtml"
255,"North America","USA","United States of America","Ashburn",39.02000,-77.46000,"Equinix IBX Ashburn","Equinix Ashburn",558815,"Active",20021031,"http://www.equinix.com/"
256,"North America","USA","United States of America","Atlanta",33.86000,-84.40000,"Atlanta Internet Exchange","AtlantaIX",149821,"Active",20030800,"http://www.atlantaix.com"
259,"North America","USA","United States of America","Atlanta",33.86000,-84.40000,"Equinix Atlanta","Equinix-Atlanta",0,"Active",20041203,"http://www.equinix.com/locations/united-states-colocation/atlanta-data-centers"
266,"North America","USA","United States of America","Boston",42.37000,-71.03000,"Equinix-Boston","Equinix-Boston",0,"Active",20000720,"http://www.switchanddata.com/subpages/PAIX_services.asp"
268,"North America","USA","United States of America","Chicago",41.85000,-87.65000,"Equinix Chicago IBX","Equinix Chicago IBX",328289,"Active",20020304,"http://peering.equinix.com/"
